,company,title,href
0,Zalando,Marketing Analyst (Media Analytics) (all genders),https://de.linkedin.com/jobs/view/marketing-analyst-media-analytics-all-genders-at-zalando-3758062433?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=LkzWfjIU%2Bv1Nlj0bTF4vIA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Scout24 Group,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-scout24-gruppe-3758957872?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=AnHP6ejHpgi7ODeDqK0AtA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,ImmoScout24,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3747492043?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=SqI7K%2FUZs25KDgrF%2Ftx0Og%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,GetYourGuide,Senior Data Analyst / Applied Scientist (Brand Marketing/MMM),https://de.linkedin.com/jobs/view/senior-data-analyst-applied-scientist-brand-marketing-mmm-at-getyourguide-3765496945?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=6rKeKGwc%2BTZcwy7sDJBr1A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,hello.de,Werkstudent/ Praktikant - Business Intelligence | Reporting | Business Analysis,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3751658783?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=fYB7TECL1j%2FiyRAbpEEv0Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),https://de.linkedin.com/jobs/view/senior-data-analyst-get-a-30%25-salary-increase-pay-0%25-tax-at-puffy-3759029443?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=yInuul5rmj6JFU5MKFgz%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,ImmoScout24,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3767072288?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=cMlTTgxAQXP50p48ZSKhkw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Zalando,(SENIOR) CUSTOMER DATA ANALYST (CUSTOMER SEGMENTATION) - MARKETS (all genders),https://de.linkedin.com/jobs/view/senior-customer-data-analyst-customer-segmentation-markets-all-genders-at-zalando-3734107245?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=ejXrhwx81O0xB8uByg7Q9A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Zalando,Senior Marketing Analyst (ROI Analytics) (all genders),https://de.linkedin.com/jobs/view/senior-marketing-analyst-roi-analytics-all-genders-at-zalando-3775547546?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=jHBvKKnmp2guQ6vzqfUjsQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Capgemini,Business Analyst Data & AI Life Sciences (w/m/d),https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=c69r9gfyky8xxSH8Gn6xoQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,TLGG Agency,Social Media Analyst (w/m/d),https://de.linkedin.com/jobs/view/social-media-analyst-w-m-d-at-tlgg-agency-3777299182?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=zV6hRdn3KjuV%2Btn4IaCR3w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Aeyde,Marketing Analyst (m/f/d),https://de.linkedin.com/jobs/view/marketing-analyst-m-f-d-at-aeyde-3778548498?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=BJzD8wz9%2B2TqFI5EqWXEtg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,HCLTech,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-hcltech-3780190794?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=usm83s3tt7IJF8tX1Ox%2BmQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Universal Music Deutschland,Senior Audience Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH,https://de.linkedin.com/jobs/view/senior-audience-data-analyst-d2c-all-genders-marketing-labs-%E2%80%93-universal-music-gmbh-at-universal-music-deutschland-3733803459?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=3QR%2Ffj9bqtpdhp0WDslAyw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div),https://de.linkedin.com/jobs/view/businessanalyst-in-m-w-div-at-deutsche-rentenversicherung-bund-3706794548?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=8vjpMsLY6GUVTrhaJQGtcg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
